"o","nieuweURI"
"http://data.kbodata.be/organisation/2_067_752_166#id","https://data.vlaanderen.be/id/vestiging/2067752166"
"http://data.kbodata.be/organisation/2_067_752_166#id","https://data.vlaanderen.be/id/vestiging/2067752166"
"http://data.kbodata.be/organisation/2_239_639_532#id","https://data.vlaanderen.be/id/vestiging/2239639532"
"http://data.kbodata.be/organisation/2_010_173_164#id","https://data.vlaanderen.be/id/vestiging/2010173164"
"http://data.kbodata.be/organisation/2_028_125_587#id","https://data.vlaanderen.be/id/vestiging/2028125587"
"http://data.kbodata.be/organisation/2_021_623_322#id","https://data.vlaanderen.be/id/vestiging/2021623322"
"http://data.kbodata.be/organisation/2_154_206_385#id","https://data.vlaanderen.be/id/vestiging/2154206385"
"http://data.kbodata.be/organisation/2_003_915_773#id","https://data.vlaanderen.be/id/vestiging/2003915773"
"http://data.kbodata.be/organisation/2_126_488_141#id","https://data.vlaanderen.be/id/vestiging/2126488141"
"http://data.kbodata.be/organisation/2_114_604_156#id","https://data.vlaanderen.be/id/vestiging/2114604156"
"http://data.kbodata.be/organisation/2_011_326_672#id","https://data.vlaanderen.be/id/vestiging/2011326672"
"http://data.kbodata.be/organisation/2_000_003_606#id","https://data.vlaanderen.be/id/vestiging/2000003606"
"http://data.kbodata.be/organisation/2_261_833_825#id","https://data.vlaanderen.be/id/vestiging/2261833825"
"http://data.kbodata.be/organisation/2_088_592_815#id","https://data.vlaanderen.be/id/vestiging/2088592815"
"http://data.kbodata.be/organisation/2_056_150_966#id","https://data.vlaanderen.be/id/vestiging/2056150966"
"http://data.kbodata.be/organisation/2_148_524_660#id","https://data.vlaanderen.be/id/vestiging/2148524660"
"http://data.kbodata.be/organisation/2_093_507_250#id","https://data.vlaanderen.be/id/vestiging/2093507250"
"http://data.kbodata.be/organisation/2_224_106_862#id","https://data.vlaanderen.be/id/vestiging/2224106862"
"http://data.kbodata.be/organisation/2_059_457_181#id","https://data.vlaanderen.be/id/vestiging/2059457181"
"http://data.kbodata.be/organisation/2_084_983_029#id","https://data.vlaanderen.be/id/vestiging/2084983029"
"http://data.kbodata.be/organisation/2_009_924_924#id","https://data.vlaanderen.be/id/vestiging/2009924924"
"http://data.kbodata.be/organisation/2_236_923_829#id","https://data.vlaanderen.be/id/vestiging/2236923829"
"http://data.kbodata.be/organisation/2_014_317_638#id","https://data.vlaanderen.be/id/vestiging/2014317638"
"http://data.kbodata.be/organisation/2_038_922_578#id","https://data.vlaanderen.be/id/vestiging/2038922578"
"http://data.kbodata.be/organisation/2_012_981_414#id","https://data.vlaanderen.be/id/vestiging/2012981414"
"http://data.kbodata.be/organisation/2_065_444_556#id","https://data.vlaanderen.be/id/vestiging/2065444556"
"http://data.kbodata.be/organisation/2_200_325_432#id","https://data.vlaanderen.be/id/vestiging/2200325432"
"http://data.kbodata.be/organisation/2_197_528_961#id","https://data.vlaanderen.be/id/vestiging/2197528961"
"http://data.kbodata.be/organisation/2_241_517_768#id","https://data.vlaanderen.be/id/vestiging/2241517768"
"http://data.kbodata.be/organisation/2_142_808_192#id","https://data.vlaanderen.be/id/vestiging/2142808192"
"http://data.kbodata.be/organisation/2_115_686_301#id","https://data.vlaanderen.be/id/vestiging/2115686301"
"http://data.kbodata.be/organisation/2_005_813_807#id","https://data.vlaanderen.be/id/vestiging/2005813807"
"http://data.kbodata.be/organisation/2_242_882_993#id","https://data.vlaanderen.be/id/vestiging/2242882993"
"http://data.kbodata.be/organisation/2_038_922_281#id","https://data.vlaanderen.be/id/vestiging/2038922281"
"http://data.kbodata.be/organisation/2_148_658_381#id","https://data.vlaanderen.be/id/vestiging/2148658381"
"http://data.kbodata.be/organisation/2_076_921_438#id","https://data.vlaanderen.be/id/vestiging/2076921438"
"http://data.kbodata.be/organisation/2_251_285_074#id","https://data.vlaanderen.be/id/vestiging/2251285074"
"http://data.kbodata.be/organisation/2_071_107_970#id","https://data.vlaanderen.be/id/vestiging/2071107970"
"http://data.kbodata.be/organisation/2_026_149_955#id","https://data.vlaanderen.be/id/vestiging/2026149955"
"http://data.kbodata.be/organisation/2_211_230_905#id","https://data.vlaanderen.be/id/vestiging/2211230905"
"http://data.kbodata.be/organisation/2_042_127_439#id","https://data.vlaanderen.be/id/vestiging/2042127439"
"http://data.kbodata.be/organisation/2_126_431_822#id","https://data.vlaanderen.be/id/vestiging/2126431822"
"http://data.kbodata.be/organisation/2_067_284_091#id","https://data.vlaanderen.be/id/vestiging/2067284091"
"http://data.kbodata.be/organisation/2_221_143_612#id","https://data.vlaanderen.be/id/vestiging/2221143612"
"http://data.kbodata.be/organisation/2_234_849_118#id","https://data.vlaanderen.be/id/vestiging/2234849118"
"http://data.kbodata.be/organisation/2_229_187_682#id","https://data.vlaanderen.be/id/vestiging/2229187682"
"http://data.kbodata.be/organisation/2_174_287_266#id","https://data.vlaanderen.be/id/vestiging/2174287266"
"http://data.kbodata.be/organisation/2_227_240_358#id","https://data.vlaanderen.be/id/vestiging/2227240358"
"http://data.kbodata.be/organisation/2_177_386_714#id","https://data.vlaanderen.be/id/vestiging/2177386714"
"http://data.kbodata.be/organisation/2_239_211_940#id","https://data.vlaanderen.be/id/vestiging/2239211940"
"http://data.kbodata.be/organisation/2_138_249_489#id","https://data.vlaanderen.be/id/vestiging/2138249489"
"http://data.kbodata.be/organisation/2_217_573_022#id","https://data.vlaanderen.be/id/vestiging/2217573022"
"http://data.kbodata.be/organisation/2_083_476_955#id","https://data.vlaanderen.be/id/vestiging/2083476955"
"http://data.kbodata.be/organisation/2_145_723_142#id","https://data.vlaanderen.be/id/vestiging/2145723142"
"http://data.kbodata.be/organisation/2_163_440_983#id","https://data.vlaanderen.be/id/vestiging/2163440983"
"http://data.kbodata.be/organisation/2_064_709_633#id","https://data.vlaanderen.be/id/vestiging/2064709633"
"http://data.kbodata.be/organisation/2_259_330_235#id","https://data.vlaanderen.be/id/vestiging/2259330235"
"http://data.kbodata.be/organisation/2_164_717_326#id","https://data.vlaanderen.be/id/vestiging/2164717326"
"http://data.kbodata.be/organisation/2_068_711_179#id","https://data.vlaanderen.be/id/vestiging/2068711179"
"http://data.kbodata.be/organisation/2_159_422_413#id","https://data.vlaanderen.be/id/vestiging/2159422413"
"http://data.kbodata.be/organisation/2_243_550_711#id","https://data.vlaanderen.be/id/vestiging/2243550711"
"http://data.kbodata.be/organisation/2_022_207_894#id","https://data.vlaanderen.be/id/vestiging/2022207894"
"http://data.kbodata.be/organisation/2_054_370_819#id","https://data.vlaanderen.be/id/vestiging/2054370819"
